1630454400.0,47100.89000000,47321.42000000,46851.00000000,47023.09000000,785.43575000,1630455299999,36996954.90594920,21274,394.37843000,18577151.45903640,0
1630455300.0,47023.10000000,47136.00000000,46900.00000000,47040.20000000,474.08044000,1630456199999,22278881.84282860,12270,205.92053000,9677816.29642350,0
1630456200.0,47040.20000000,47049.02000000,46873.12000000,46919.86000000,334.57771000,1630457099999,15707538.23089020,10005,176.72182000,8297334.90840660,0
1630457100.0,46919.87000000,46926.66000000,46700.00000000,46754.74000000,772.92758000,1630457999999,36160904.20827560,16436,329.69369000,15425293.90087150,0
1630458000.0,46754.74000000,46834.17000000,46560.00000000,46580.89000000,1090.76530000,1630458899999,50908889.59187540,22385,467.94145000,21840733.79373040,0
1630458900.0,46580.89000000,46672.86000000,46512.00000000,46651.80000000,462.43010000,1630459799999,21538287.36520620,12285,222.70851000,10374074.78859220,0
1630459800.0,46654.55000000,46746.70000000,46550.00000000,46702.63000000,344.04646000,1630460699999,16048561.01208880,8723,167.39393000,7809111.62680770,0
1630460700.0,46702.64000000,46884.36000000,46683.08000000,46859.87000000,512.58274000,1630461599999,23991414.78401440,10183,242.58824000,11353888.91521470,0
1630461600.0,46859.86000000,46933.33000000,46767.98000000,46812.37000000,304.46137000,1630462499999,14261257.16493850,8286,124.39119000,5827045.37611920,0
1630462500.0,46812.38000000,47000.00000000,46731.40000000,46997.20000000,418.17239000,1630463399999,19596557.59780700,9010,226.10673000,10597310.91212160,0
1630463400.0,46997.19000000,47091.19000000,46935.57000000,46960.00000000,398.17168000,1630464299999,18715528.95312520,9023,195.27430000,9179071.81883930,0
1630464300.0,46959.99000000,46988.30000000,46838.00000000,46877.90000000,255.86275000,1630465199999,11999813.82137220,6639,114.98391000,5392975.83942690,0
1630465200.0,46877.91000000,46918.38000000,46764.54000000,46893.01000000,212.19930000,1630466099999,9938885.34451060,6884,120.04923000,5622860.85377100,0
1630466100.0,46893.02000000,46933.33000000,46735.43000000,46768.33000000,217.59195000,1630466999999,10187664.89050810,6494,100.27906000,4694298.29322090,0
1630467000.0,46768.31000000,46835.64000000,46688.00000000,46789.39000000,289.20745000,1630467899999,13519869.93069170,6887,130.64467000,6108322.75622520,0
1630467900.0,46789.39000000,47052.89000000,46786.83000000,47043.65000000,256.46661000,1630468799999,12036150.94535700,7515,141.43042000,6637701.67107290,0
1630468800.0,47043.65000000,47250.00000000,46969.56000000,47241.75000000,380.86192000,1630469699999,17944574.67450720,10081,206.38668000,9723505.28193090,0
1630469700.0,47238.56000000,47250.01000000,47093.51000000,47119.37000000,430.25158000,1630470599999,20293491.25787340,8799,157.26702000,7417591.39503860,0
1630470600.0,47117.50000000,47222.22000000,47005.74000000,47095.90000000,254.12726000,1630471499999,11970918.52853770,6925,139.44200000,6568656.48766980,0
1630471500.0,47095.90000000,47159.90000000,47052.59000000,47153.42000000,211.07751000,1630472399999,9943293.17885120,5853,118.30813000,5573125.72792050,0
1630472400.0,47153.43000000,47345.00000000,47089.08000000,47325.72000000,370.95292000,1630473299999,17516096.14636950,10611,198.94329000,9394477.76320600,0
1630473300.0,47325.71000000,47416.57000000,47191.28000000,47249.96000000,528.38995000,1630474199999,24982289.65358350,11535,227.01826000,10735313.76295200,0
1630474200.0,47249.95000000,47459.32000000,47183.14000000,47399.09000000,527.71952000,1630475099999,24983531.27198480,12108,279.46867000,13231997.75697450,0
1630475100.0,47399.09000000,47473.28000000,47350.78000000,47424.31000000,495.81395000,1630475999999,23510541.25045240,11234,201.22648000,9541791.86868160,0
1630476000.0,47424.31000000,47470.75000000,47345.62000000,47383.39000000,400.18741000,1630476899999,18963217.10404910,10161,167.03635000,7915152.91960840,0
1630476900.0,47383.40000000,47383.40000000,47273.78000000,47293.10000000,399.28850000,1630477799999,18889739.14663050,10345,167.80948000,7938945.32226370,0
1630477800.0,47293.11000000,47315.35000000,47180.00000000,47273.96000000,385.95909000,1630478699999,18232127.64384040,10828,181.40611000,8569189.15320380,0
1630478700.0,47273.95000000,47444.00000000,47269.18000000,47306.35000000,364.42127000,1630479599999,17263633.56963580,9859,205.84698000,9751160.98200960,0
1630479600.0,47308.48000000,47419.84000000,47285.70000000,47369.18000000,301.82123000,1630480499999,14288006.34101860,8067,138.32273000,6548948.96256710,0
1630480500.0,47369.18000000,47439.00000000,47283.40000000,47286.00000000,320.46998000,1630481399999,15175238.48922810,8886,177.50242000,8405258.13000320,0
1630481400.0,47286.00000000,47286.03000000,47111.11000000,47179.40000000,454.50392000,1630482299999,21453966.03544630,10939,199.83204000,9431587.39426480,0
1630482300.0,47179.39000000,47219.99000000,47090.31000000,47171.01000000,379.50151000,1630483199999,17897696.03054460,8531,189.38810000,8932408.70256790,0
1630483200.0,47171.00000000,47350.00000000,47111.25000000,47309.78000000,310.74707000,1630484099999,14682202.57055500,8677,166.23881000,7854457.82921710,0
1630484100.0,47309.77000000,47413.93000000,47201.03000000,47210.77000000,370.31771000,1630484999999,17522002.18678300,8538,171.63016000,8121566.97085000,0
1630485000.0,47211.79000000,47365.45000000,47142.25000000,47147.27000000,402.83712000,1630485899999,19034061.65020660,9502,188.33417000,8898940.07385520,0
1630485900.0,47147.27000000,47388.00000000,47144.23000000,47347.09000000,458.32678000,1630486799999,21669735.89429650,10465,262.53854000,12410755.56407000,0
1630486800.0,47347.08000000,47550.00000000,47313.97000000,47433.21000000,653.37309000,1630487699999,30999083.03121460,14448,379.72801000,18017039.37072310,0
