1, Entry Long, Buy, 09/23/2021 14:12:03, 44134.01, Exit Long, Buy, 09/23/2021 14:12:09, 44156.66000000, BUY Percent Trail
1, Entry Long, Buy, 09/23/2021 16:21:04, 43759.41, Exit Long, Buy, 09/23/2021 16:21:09, 43754.23000000, BUY Trail Stop Loss
75, Entry Long, Buy, 09/23/2021 16:26:03, 43728.27, Exit Long, Buy, 09/23/2021 16:26:11, 43696.19000000, BUY Trail Stop Loss
